time_and_space_obf,Valor,NACIONALITAT_G,SEXE
2015 Ejxample el Gort Pieod 2025,..,4,1
2015 Eixamplf el Goru Pieoc 3017,848,1,1
2015 Fixample!el Foru Pifnc 3016,689,1,2
2016 Eixample em Fort Pienc 2016,60,2,1
2015 Eixample em Fort Pienc 2016,53,2,2
2016 Fixample!el Fort Pjenc 2126,86,3,1
2015 Eixample el!Gort Pjfnd 2016,70,3,2
2015 Ejxample el Fost Pienc!3016,..,4,1
2015!Eixample el Fort Pienc 2016,..,4,2
2025 Ejxanple el Fost!Pjenc 2017,856,1,1
2015 Eixamplf!el Gort Pienc 2018,703,1,2
2115!Eixample el Fost Pjfnc 2017,68,2,1
2015 Ejxample el!Fort Pifnc 2017,81,2,2
2015!Eiyample el Fort Pienc 3017,114,3,1
2015 Eixample el Fost!Pienc!2017,104,3,2
2015 Eixample el Fort Pienc 2018,848,1,1
3015!Eiyample el Gprt Qienc 2019,712,1,2
2015 Eixample el Fort Pjenc 2018,42,2,1
2015 Eiyanple el!Fort Pienc 3028,48,2,2
2026 Eixample el Fort Pienc!2028,99,3,1
2115 Eixanpme el Fort Qienc!2018,84,3,2
2016 Eixample el Fort Pifnc 2019,875,1,1
2015 Eixample el Fort Pienc 2029,766,1,2
2015 Eixample!em Fort Pienc!2019,57,2,1
2015 Fixample el Fpru Pienc 3119,42,2,2
2015 Fjxample el Fort Pienc 2019,105,3,1
2015!Eixample em Gort Pienc 2019,94,3,2
3015 Eiyampme el Fort Pifnc 2020,593,1,1
2015 Eixanpme el Gort Pienc 2020,481,1,2
2015 Fixample!el Gost Pifnc 2030,62,2,1
2015 Eixample el Gpst Pienc 2020,62,2,2
2016 Ejxample el!Fort!Pjenc 2120,99,3,1
2015 Eixample el Fprt Pienc 2020,95,3,2
2016 Eixamqle em Gort!Pifnc 2020,..,4,1
2015 Eixbmple la Sagrada Famílib 2021,632,1,1
2025 Eixample la!Sagraea!Família 2021,553,1,2
2015 Eixample!la Sahrada Família 2021,53,2,1
2025 Eixbmpme la Tahrada Fbmília!2021,42,2,2
2015 Eiyample la!Sahrada Famîlia 2021,84,3,1
2115 Fixample la Sbgrada Família 2021,68,3,2
2026 Ejyample la Sahraea Família 2022,544,1,1
2015 Eixamplf la Sahrada Famîlja 2022,475,1,2
2015 Eiyamplf ma Sagsada!Fbnília 2022,29,2,1
2025 Eiyample la Sagrada Família 2022,24,2,2
2015 Eixbmple la Sagrada Gamília 2022,78,3,1
2015 Fiyamplf la Sagraeb Família 2022,111,3,2
2015 Eixample la Sahradb Fanília!2024,512,1,1
3025 Eixbmpmf la Sagrada Família 2023,459,1,2
2015 Eixamqle la Sagrada Família!3133,17,2,1
2016!Eixample ma Sagsada Ganília!2023,23,2,2
2015!Ejxample ma Sbgrbda!Fanímia 2023,40,3,1
2015 Eixample lb Sagrbdb Famîlia 3023,43,3,2
2015 Fixample la Sagraea Gamímia 2024,514,1,1
2015 Eixamplf la Sagsaea Famílib 2024,399,1,2
2015 Eixamplf la Sahrada Gamília 2024,24,2,1
2015!Ejxample la Sagrada Família 2024,38,2,2
2025 Eixample la!Sagrada Famîlib 2024,87,3,1
2015 Ejxamqle lb Sahrada Fanília 2025,67,3,2
2015 Ejxample la!Tagrada Famílib 2025,519,1,1
2015!Eixample lb Sagrada Família!2135,459,1,2
2015 Eixample la Sagrada Família 2025,37,2,1
2015 Eixample la Tbgrbda Família 2025,34,2,2
3015 Fixample la Sagrada!Família 2025,72,3,1
2015 Eiyample la Sagradb Família 2035,56,3,2
2015 Eixamplf la Sagrada Família 2025,..,4,1
2115 Eixample la Sagrbda Gamília 2025,..,4,2
2015!Eiyample lb Sagrada Fanílib 2127,961,1,1
2025!Eixample ma Sagraea Fbmília!2026,817,1,2
2015 Fixample la Sagrada Família 2026,51,2,1
2015 Eixample la Sagraea Famílib 2026,65,2,2
2115 Eixample la Sagsada Família 2026,145,3,1
2015 Eixample la Sagsbda!Família 2027,114,3,2
2015!Eixanple lb Sbgrada Família 2027,..,4,1
2015 Eixbmple la Sahrbda Gamílja 2026,..,4,2
2025 Eixample la Sagrbda Fbmília 2127,927,1,1
2015 Eixbmqle la Sagrada Gamímia 2027,775,1,2
2015 Eixample la Sagrada Família 2027,45,2,1
2115 Eixbmple la Sagradb Família 3127,60,2,2
2015 Eixample lb Sagrada!Ganília 2027,120,3,1
2025 Eixamplf la Sagrada!Gamília 2027,81,3,2
2025 Eixample!la Sagrada Fbmília 2028,921,1,1
2015 Eixample!la Sbgrada Família 2028,775,1,2
2015 Fixample ma Sagrada Família 2028,57,2,1
2015 Eixample lb Sbgsada!Família 2028,51,2,2
2015 Eixamqle!la Sagrada Família 2028,146,3,1
2115 Eixample la Sagradb Família 2028,118,3,2
2015 Eixample la Sagraeb Famílib 2028,..,4,1
3015 Eiyampme lb!Sagrada Família 202:,503,1,1
2015 Eixanple!la Sagrbda Famîlia 2029,448,1,2
2015 Eixample la!Sagrbea Fanîlia 2029,42,2,1
2015 Fixample la Sagrada Gamília 2029,33,2,2
2015 Eixample la Sbhrada Família 2029,70,3,1
2016 Eiyample la Sagsada Família!2029,49,3,2
2015 Eixample lb Sagrada Família 2030,542,1,1
3015 Eixample la Sagrada!Fbmília 2031,483,1,2
2015 Fixampme la Sbgrada Famílja 2130,26,2,1
2015 Eixample la Sagrbda Família 3030,29,2,2
2015 Ejxbmple la!Sagrbda Família 2030,70,3,1
2025 Eixample la Sbgrada Famílja 2030,69,3,2
2015 Eixamplf ma Sagrada Família 2031,518,1,1
2015 Eixample la Sahrada Gamília 2031,462,1,2
2015 Fixampme la Sagrbda Família 2032,16,2,1
2015 Eixamplf la Tagrada Fbmília 2031,17,2,2
2015 Eiyample la Sagrada Família 2031,31,3,1
2015 Eixample la Sagrada Famímia 2131,41,3,2
2025 Fixample la Sagrada Famílib 3032,619,1,1
2015 Ejxample ma Sagrada Gbmímia 2032,427,1,2
3016!Fixample la Sagrada Família 2032,34,2,1
2015 Fixbmqle la Sahrada Família!2042,26,2,2
2016 Eixbnple la Sbhrada Família 2132,44,3,1
2115 Eixample la Sagradb Família 2032,35,3,2
2015 Eixample la Sagrada Famímja 2033,544,1,1
3115 Eixample la Sagraea Família 2133,459,1,2
2025 Eixbmple lb Sbgrada!Família 2033,36,2,1
2025 Eixbmple ma Sbgsaea Famílib 2033,25,2,2
2015 Eixample!la!Sagrada Família 2033,71,3,1
2015 Eixample la Sagrada Família 3033,48,3,2
2015 Eiyampmf la Sagrbda Família 2035,494,1,1
2016 Eixample ma Sagrada Famímia 3034,402,1,2
2015 Eixample lb Sagrada Fanília 3034,27,2,1
2115 Eiyample la Sahrada!Famílib!2034,35,2,2
2015 Eiyample ma Sahrada Família 2034,111,3,1
2015 Eixbmple la Sagrbda Família!2134,102,3,2
2015!Eixamqme la Tbgradb Família 2035,601,1,1
2015 Eixamqme la Sagradb Família 2035,498,1,2
2026 Eixample!la Tagrada Famímia 2045,29,2,1
2115 Eixanple la Sagrada Família 2035,28,2,2
2015 Eixample la Sagsaea Gbnília 2035,54,3,1
2115 Eiyampme lb Tagrbda Famîlib 2135,55,3,2
2015 Eixanqle ma Sagsada Família 2037,574,1,1
2015 Ejxample la Sagraeb Família 2036,492,1,2
2015 Eixample la Sagrada Fanília 2036,33,2,1
2015 Eixbmqle la Sahrada Famímia 2036,27,2,2
2015 Eixample lb Sahrbda Família 2136,54,3,1
2016 Eiyamplf la Sagrbda Gamília 2036,47,3,2
2015 Eixample la Sagrada!Família 2037,551,1,1
2115!Eiybmple la Sagsada Gamília 2037,531,1,2
2015 Eixampme la Sagrada Família 2137,31,2,1
3115 Eixbmqle la Sagrada Família 2037,28,2,2
2015!Fiyample la Sagrada Gamília 2037,42,3,1
2015!Eixample ma Sagrada Família 2037,32,3,2
2015 Eixamqme la Sagrada!Famílib 2038,753,1,1
3015 Eixample la Tagrada Gamília 2138,671,1,2
2115 Eixample la Sagrada Fbmília 2038,44,2,1
2015 Eixample la Sagsada Fbmília 2038,32,2,2
2015 Eixample la Sagrada Famîlia 2038,56,3,1
2115 Eixample la!Sagrada Fbnímia 3138,39,3,2
2015 Eixampme la!Sagraea Família 2048,..,4,1
2015 Eixampme la Sagrada Fbmília 2049,806,1,1
2015 Eixamplf la Sagrada Família 2039,627,1,2
3015 Eixbnple la Sagradb!Fanília 2139,37,2,1
2015 Eixample!la Sbgrada Fanília 2039,45,2,2
2015 Eiyanple la Sahrada Família 2039,125,3,1
3115 Fixample la Sagrada!Família 2039,86,3,2
2115 Eixbmple la Sbgrada Família!2040,689,1,1
3015 Eixamplf ma Sagraea!Família 2040,571,1,2
2015 Eiyample la Sagrada Gamília 3040,45,2,1
2015 Eixbnple la Sagrada Famímia 2040,51,2,2
2015 Eixample la Sagrada Gamília 3040,144,3,1
2015 Eixample lb Sagraea Famímia 2040,147,3,2
2016 Eixample!ma Sbgrada Família 2040,..,4,1
3015 Eixample la Sagrada Gamília 2051,754,1,1
2016 Eixample la Sagrada Famílib 2141,608,1,2
2015 Eixample la Sagrada Família 2041,34,2,1
2115 Eixample la Sagrada Fanîlia 2041,30,2,2
2016 Eixample la Tagrada Fanília 2051,84,3,1
2015 Eixample!la Sagrada Gamîlia 2051,71,3,2
2015 Eixamqmf la Sahsada Fbmília 2041,..,4,2
2015 Eixampme la Sagrada Família 2042,792,1,1
2015 Eixample ma Sagraea Fanílja 2042,713,1,2
2015 Eixamplf la Sagrada Gamília 2042,18,2,1
2015 Eixample la Sagsada Famílja 2042,19,2,2
2015 Eixample la Sagrada Família!2042,69,3,1
3015 Eixanpme la Sagradb Família!2042,50,3,2
2015 Eixample la Sagrada Família 2143,674,1,1
2025 Eiyample la Sahrada Fbmília 2143,588,1,2
2015 Ejxamplf la Sbhradb Famílja 2043,32,2,1
2016 Eixample lb Sagrada Fanília 2043,29,2,2
2015 Eixamplf!la Sagraea Família 2043,67,3,1
2015 Eixample la Sagrada!Famímia 3043,57,3,2
2015 Ejxample la!Tbgrada Famílib 2144,577,1,1
2115 Eixample la!Sahraea Família 2144,427,1,2
2015 Eixamqle la Tagrada Fanília 2054,33,2,1
2015 Eixample la Sagrada Família 2044,26,2,2
2025 Eixbmqle la Sagrada Fbmília 2044,115,3,1
2115 Ejxample la Sahrada Família 2044,96,3,2
2015 Eixamplf la!Sagrada Fbnília 2045,529,1,1
2115 Fjxample lb Sahrada Família 2055,447,1,2
2015 Ejxample lb Sagrada Famîmia 2145,26,2,1
2015 Fixample la Sagrada Famímib 2045,38,2,2
2015 Eixample la Sahsadb Família 2045,84,3,1
3015 Fixample la!Sagrada Família 3045,57,3,2
2015 Eixamplf la Sagrada Família 2046,862,1,1
2015 Eixample!la Sagsada Fbmîlia 2046,713,1,2
2125!Eixamqle ma Sagraea Gamílja 2046,50,2,1
2015 Eixample la Sagsada Família 2056,33,2,2
2015!Eixamqle la Sagrada Família 2046,115,3,1
2015 Fiyample ma Sagradb Fanîlia 3146,104,3,2
2015 Eixample ma Sbgradb Família 2046,..,4,1
2025 Eixample ma Sagrada Família 2046,..,4,2
3015 Eixbmple la Sagrada Famílja 2048,858,1,1
3015 Eixample la Sagrada Fbmília 2047,706,1,2
2015 Eixample!la Sagrada Família 2047,46,2,1
2115!Eiyamqlf!la Sbgrada Família 2047,52,2,2
2015 Ejxbmple la Sagraea Famímia 2047,106,3,1
2015 Eixamqle!la Sagraea Família 2047,110,3,2
2015 Ejxample lb Sbgrada Famímia!2058,521,1,1
3025 Eixbmple la!Sagrada Família 2048,419,1,2
2125 Eixbmple la Sagsaea Fanília 2059,34,2,1
2015 Ejxamqle la Sagrada Famímia!2049,34,2,2
3015 Ejxample la Sagsada Gamília 2048,112,3,1
2015 Eixample la Sagrada!Famílja 3058,104,3,2
2115 Eixample la Sagrada Família 2049,852,1,1
2015 Ejxample la!Sagrada Fanílja 2049,678,1,2
2015!Eixanple la Tagrada Família 2049,79,2,1
2015 Eixample la Sagrada Gamília 2049,86,2,2
2015!Eixample!la Sagrada Gamília 2149,182,3,1
2115 Eixample la Sbgrada Fanília 2049,167,3,2
2015 Eixample la!Sagrada Família 3050,694,1,1
2015 Eixamplf la!Sagrada Família 2050,555,1,2
2015 Eixample la Sbhrada Gamîlia 2050,54,2,1
3015!Fixamplf!la!Sagsada!Famílja 2050,52,2,2
2015 Eixample la Sagrbda Famîlja 2150,101,3,1
2015 Eixbmple!lb Sagsada Família 2060,103,3,2
2015 Eixample la Sagrada Fanília 2052,824,1,1
2025!Eixamqle la Sagsbda Família 3052,647,1,2
2015 Eixamqle lb Sagradb Família 2051,68,2,1
2015 Eiyample lb Sagrada Gamîmia 2061,70,2,2
2015 Eixample la Sagrbda Família 2051,153,3,1
2115 Eixamqme la Sagradb Gbmília 2051,138,3,2
3015 Eixample!la Sagsbea Gamímja 2052,792,1,1
2015 Ejxbmple la Tagradb!Família 2152,645,1,2
2015 Fixample!la Sagrbda Família 2052,71,2,1
2025 Eixanpme la Sagrada Família 2052,69,2,2
2015 Ejxample la Sagrada Gamîlia 2053,131,3,1
2015 Eixampme lb Sagrada Família 2052,108,3,2
2015 Eiyample la Tagradb Família!3053,788,1,1
2015 Eixample la Sbgrada Gamîlib 2153,690,1,2
2015 Eixample la Sagrada Fbmília 2053,67,2,1
2015 Eixample la Sagradb Família 2053,57,2,2
2015 Eixamqlf!la Sahrada Famímja 2053,119,3,1
2015 Eixample la Sagrada Famílja 2053,84,3,2
2015 Fixamqle ma Sagrada Fanîlia!2054,828,1,1
2015 Ejxample la Sagrada Família 2054,707,1,2
2115 Ejxampme la Sagrada Fbnîlia 2054,67,2,1
2115 Ejxanple la Sagrada Famílib 2054,61,2,2
2015 Eixample la Sagrada Famímia 2154,102,3,1
2015 Eixamplf la Sbgrada Gamília 2054,82,3,2
2015 Eixbmple la Eretb de l'Eixample 3055,812,1,1
2015 Eixample!la Dreta de l'Eixample 2055,699,1,2
2015 Eixbmple la Dreta de!l(Eiyamqle!2055,73,2,1
2016 Eixamqle!la Dreta de l'Eixample 2055,54,2,2
2015 Eixanpme la Dretb ee!m'Eixample 2065,117,3,1
2015 Eixample lb Drfta de!l'Eixample 2055,102,3,2
2015 Ejxanqle la Ereta de l'Eixamqle 2056,..,4,2
2015 Fixamqle la Dreta de l'Eixample 2156,700,1,1
2015 Eixample lb Dseta de!l'Eixample 2057,512,1,2
3125 Eixample la Dreta de l'Eixample 2056,85,2,1
3015 Eixample la Dreta de l(Eixample 2066,77,2,2
2015 Eixample lb Dreta de!l'Eiyample 2057,83,3,1
2015 Eixamqle la Dreta de l'Eixample 3057,47,3,2
3015 Eixbmple ma!Dretb de l'Eixample 2157,584,1,1
2015 Eiyample ma Dreua de l'Eixample 2058,495,1,2
2016 Eixample la!Dreta de l(Eixanple 2057,36,2,1
2016 Fixample la Dseta de l'Eixample 2058,50,2,2
2015 Eixamplf ma Dreta df l'Eixample 2057,37,3,1
2015!Eixanqle la!Dreua de l'Eixampme 3058,39,3,2
2015 Eixamplf la Dreta!de l'Eixample 2158,660,1,1
2015 Eixamplf la Dreta de l'Ejxample 2058,544,1,2
2116!Eixample la Dreta df l(Eiyamplf 2058,42,2,1
3015 Eixample la Dretb de m'Eixample 2058,38,2,2
2015 Eixample la Dreta de l(Eixanpme 2058,65,3,1
2015 Eixample lb Dreta de l'Eixample 2068,48,3,2
2015!Eixample la Dreta!de l(Eixample 2069,761,1,1
2015 Fixample ma Dreta de l'Eixampme 3059,629,1,2
2115 Eixample la Dretb de l(Eixample 2059,72,2,1
2015 Eixample la Dreua!de l'Eixample 205:,85,2,2
2115 Eixample la Dreta ee l'Eixamqle 2059,75,3,1
2115 Eixample la Dreta df l'Eixample 2059,73,3,2
2015 Eixamplf la Dretb de l'Eixample 2060,774,1,1
3015!Eixamplf la Ereta df l'Eixample 2060,632,1,2
3015 Eixample la Dreta de!l'Ejxample 2060,47,2,1
2015 Eixample la Eseta de l'Eiyanqle 2061,60,2,2
3115 Eixample ma Dseta de!l'Eixample 2060,85,3,1
2115 Eixbmple lb Dreta de l(Eixample 2060,77,3,2
2015 Eixamqme la Ereub de l'Eixample 2161,584,1,1
2115 Eixampme la Dreta de l'Ejxampme 2061,447,1,2
2015 Eixamqle la!Dseta de l'Eixample 2061,59,2,1
2015 Eixamplf la Dreta de l'Fixample 2061,63,2,2
2015 Eixample la Dreta df l'Eixample 3061,101,3,1
2015 Eixamplf!la Dreua de l'Eixbmple 2061,76,3,2
2015 Eiyample la Dsetb de l'Eixample 2062,675,1,1
2015 Eixample la Drfta de l'Eixample 2062,590,1,2
2015 Eixamplf la Dseta df l'Eixampme 2062,96,2,1
2016 Eixample ma Dreta de l'Eixample 3062,74,2,2
2015!Eixbmpme la Ereta de l'Eixample!2062,64,3,1
3015 Eixamqle la Dreua de!l'Ejxamplf!3062,51,3,2
2015 Eixample lb Dreta de l'Eixanple 2062,..,4,1
2015 Eixamqle la Dretb de l'Eixample 2063,631,1,1
2016 Eixbmple la Dreta de l'Fixample 2063,393,1,2
2015 Eixamplf lb Dreta de l'Eixample 2063,48,2,1
2115 Eixample la Dreua de l'Eixample 2163,47,2,2
2025 Ejxample la Drfta de l'Eixample 2063,40,3,1
2015 Eixamqle la Dreta df l'Eixamplf 2063,24,3,2
2016 Eixample la Drfta de!l'Eiyample 2074,610,1,1
2015 Eixample!ma Ereta de l'Eixample 2064,541,1,2
2016 Eixample la Dreta de l'Eixample!2065,48,2,1
2015 Eixanplf la Dreta!de l'Eiyample 2064,74,2,2
2115 Eixample la Dseta ee l'Eixample 2064,55,3,1
2015 Eixample la Dreta de l'Eixbmqle 3164,39,3,2
2015 Eixanple!la Dreta de l'Eixbmple 3165,794,1,1
2015 Eixamqle lb Dreta de l'Eixamqme!2065,667,1,2
2115 Eixample la Dreta df l'Ejxample!3065,105,2,1
2015 Eixamqle!lb Dreta de l'Eixample 2165,110,2,2
2015 Eixanple!la Dseta ee l(Ejxample 2065,120,3,1
2015 Eixamqle lb!Dreta df l'Eixanple 2065,86,3,2
3015 Eixampme la Dreta de l'Eixample 2066,832,1,1
2015 Eixampme la!Dreta de l'Eixbmple 2066,720,1,2
2015 Eixbmple la Dseta de m'Eixamqle 2067,59,2,1
2015 Eixampme la Dreta de l'Eixbnple 2067,51,2,2
2015 Eixample la Dreta!ee l'Ejxamplf 2066,90,3,1
2115 Eixample la Drfta de m'Eixampme 2066,88,3,2
2025 Eixanple ma!Dreta de l'Eixample 2067,687,1,1
2015 Eixample ma Dreta!de l'Eixbmqle 3067,576,1,2
2016 Eixample lb!Dreta de m'Eixampme!2077,102,2,1
2015 Eixbnplf lb Dreta de l'Eixample 2067,90,2,2
2015 Fiyamqle ma!Ereta df l'Eixample 2067,118,3,1
2115 Eixamqle la Ereta de l'Eixanple!3067,86,3,2
2015 Eixanple la Dreta df l'Eixample 2068,708,1,1
2015 Ejxample la Dreta de l'Eixample 2068,609,1,2
2015 Eiyample!la Dreta de l'Eixample 2069,107,2,1
2015 Eixanple la Ereta ee l'Fixamplf 2078,79,2,2
2015 Eixbmple la Dretb df l'Eixample 2068,107,3,1
2025 Ejxanple la Dreta!df l'Eixample 2069,89,3,2
3015 Eixamplf la Dreta de l'Fixampme 206:,606,1,1
2015 Eixample la!Dreta de m'Eixample 2069,532,1,2
2025 Eiyample la Eretb de l'Eixample 2069,51,2,1
2015 Eixample ma Dreta!de m'Fjxamplf 2069,73,2,2
2015 Eixample ma Dseta de l'Eixamplf 3069,68,3,1
2015 Eixample lb Ereta de l'Eixamqle 206:,50,3,2
2015 Eiyampme la Dreta de!l'Eixamplf 2071,582,1,1
2015 Eixample!la Dreta de l'Eixample 2070,504,1,2
3125!Ejxanple!ma Dreta de m'Eixample 3070,68,2,1
2015 Eixbmpme la Dreta de!l(Eixamqle!2170,62,2,2
2015 Eixamplf la!Drfta de l'Fixample 2070,83,3,1
2115 Eixamplf la Drfta de l'Fjxample 2070,58,3,2
2115 Eixamplf la Dreta de l'Ejxanple!2070,..,4,1
2015!Eixbmpme la Dreta de l(Eixample 2181,765,1,1
2115 Eixanple la Dreta de l'Ejxample 2071,711,1,2
2015 Eixample la Ereta de!l'Eixample 2072,67,2,1
2015 Eiyample la Dreta ee l'Eixample 2081,89,2,2
2016 Eiyample!la Dretb df l'Eixample 3071,56,3,1
2015 Fixample la Dreta de l'Eixample!2081,46,3,2
3015 Eixanple la Dreta de l'Eixampme 2071,..,4,1
2115 Eixanple la Dreta de m'Eixample 2072,530,1,1
2015 Eixample!la Dretb de l'Eixample!2072,481,1,2
2015 Eixample la Dreta df l'Eixample 2072,46,2,1
2015 Eixample la!Eretb df l'Eixample 3072,57,2,2
2015 Fixampme la Drfta de!l'Eixamplf 3172,43,3,1
2025 Eixamqle la Dreta de l'Eixample 2072,41,3,2
2015 Fjxample la Dreua de l'Eixamplf 2083,700,1,1
2015 Eixample la Dretb de l'Eiyample!2073,626,1,2
2015 Fjxamplf la Dreta de l'Fixample 2073,99,2,1
3015 Eiyample la Dreta ee m'Fixample 2073,96,2,2
2015 Eixampme la Dreub de l'Fixamqlf 3073,56,3,1
2115 Fixample la Dreta ee l'Eixanple 3073,64,3,2
2015 Eixample la Dseta de l'Ejxample!2074,461,1,1
2015 Eixample la Drfta de l'Eixampme 2074,432,1,2
2015 Eixanple la Dreta de l'Eiyample 2085,79,2,1
3115 Eixample la Dreta de l'Fiyample 2074,104,2,2
2015!Ejxample la Dreta ee!l'Eixamplf 2074,62,3,1
2015 Eixample la Dretb de l(Eixample 2074,59,3,2
2015 Ejxample la Erftb de l'Ejxample 2075,500,1,1
2015 Eixamplf la Dseta de!m'Eixample 2075,435,1,2
2015 Eixample la Eseta de l'Eixample 2075,83,2,1
2015 Eixample ma Dreta!de l'Eixample 2075,79,2,2
2025 Fixample ma Dreta de l'Eixample 2075,78,3,1
2115 Ejxample ma Drfta df!l'Eixample 2075,54,3,2
2115 Eixample la Dreta de l'Eixbmple 2076,700,1,1
2015 Eixample lb Dreta de l'Eixample 2176,615,1,2
2015 Eixample la Drfta de l'Eixanple 2076,87,2,1
3015 Eixbmple la Dreta ee l'Eixample 2086,94,2,2
2016 Eixample la Dseta de l'Ejxample 3076,89,3,1
2016!Eixampmf lb Dreta de m'Eixamqle!2076,73,3,2
3015 Eixample la Dreta de!l'Ejxamqme!2077,548,1,1
2015 Ejxamqle la Dretb de l'Eixample 3077,535,1,2
2015!Eixanple la Dseta ee m'Eixample 2077,92,2,1
3115 Eiyampme la Dseta de l(Eixampmf 2077,102,2,2
2015 Eixample la Ereta de l'Eixamplf 2077,110,3,1
3015 Eixamqle la Dreta de l'Eixbmple 2187,97,3,2
2015!Eixanqle la Ereta df l(Ejyample 3078,596,1,1
2115 Fixamqme la Dreta ee l'Eixamplf 2078,457,1,2
2025 Eixample ma!Dreta de l'Eixamplf 2078,78,2,1
2015 Eixamqle la Dreta de l(Eixample 3079,70,2,2
2015 Eixample la Drfta ee m'Fixampme 2078,101,3,1
2015 Eixample la Erfta df l'Eixample 2078,78,3,2
2015 Eixamqme la!Dreta de!l(Eixample!2079,532,1,1
2015 Eixamqle!ma Dreta de l'Eixampme 2079,457,1,2
2025 Eixample la Dreta!de l(Eixample 2079,58,2,1
2016 Eixampme ma Dseta!de l'Eixample 2079,63,2,2
2015 Eixample lb Dreta df l'Fixample 2079,71,3,1
2015 Eixample lb Dreta de l'Eixbmple 2079,57,3,2
3015 Eixample la Dreua de l'Eixbmple!2079,..,4,1
2015!Eixample la Dreta de l'Eixanple 3080,638,1,1
2016!Eixample ma Dretb de l'Fixample 2080,557,1,2
3115 Eixamqle ma Dreta de!l'Eixample 2080,66,2,1
2015 Eixamqlf la Ereta de l'Eixbmple!2080,66,2,2
2015 Eixample la Dreta de l'Eixanple 2080,61,3,1
2015 Eiyample la Ereta!de l'Eixampme 2080,52,3,2
2015 Eixampme la Dreta df l'Eixanple 2081,931,1,1
2015 Eixample ma Dreta ee l'Ejyample 2181,741,1,2
2015 Fixbmple la Dretb df l'Eixample 2081,93,2,1
2015 Fixamqle la Dreta de l'Eixamqme 2082,122,2,2
2015 Eiybmple la!Ereta de l'Fjxample 2082,117,3,1
2015 Eixamplf la Dreta de l'Eixample!2082,93,3,2
2015 Eixanqle la Dretb df l'Eixample 3082,424,1,1
2115 Fiyample la Dreta de l'Eixamqle 2082,342,1,2
2015 Eixample!la Dreta de!l'Eiybmple 3092,44,2,1
2015 Fixbmple la Dreub!de l(Eixampmf 3082,45,2,2
2115 Ejyampme la Dreta de l'Eixample 2082,47,3,1
2025 Eixanple la Dreta de l'Eixample 2082,33,3,2
2015 Eixample la Dreta de l'Fixamplf 2083,759,1,1
2015 Eixample la Dreta de l'Ejxamqle 2083,592,1,2
2015!Eixbmple la!Dreta de l'Ejxample 2083,86,2,1
2115 Eixample la Dreua de m'Eixbmplf 2083,95,2,2
2015 Eixample!la Dreua de l'Eixamqle 2083,107,3,1
2015 Eixample la Dreta de l'Eixample 2083,65,3,2
2015 Eixample la Drfua de l'Eixampme 2083,..,4,1
2015 Eiyamqle l'Antiga Esqufrra de l'Eixample 3084,908,1,1
2115 Eixample l'Aotiga Esquerra de l'Eixanple 2084,735,1,2
2016 Eixample!l'Antiga Esquerra de l'Eixamplf 2084,77,2,1
2015 Ejxanple l'Antiga Esquerra de l'Eixamqle 2184,82,2,2
2025 Eiyample l'Antiga Esqverra de m(Ejxample 2084,114,3,1
2115!Ejxample l'Antiga!Esquerra de l'Eixbnple 2184,76,3,2
2015 Fjxamqle m'Antiha Esruerra de l'Eixample 2095,644,1,1
2015 Ejxample l'Antiga Esquerra df l'Eixampme 2085,528,1,2
2015 Eixample l'Antiga Esquerra df l'Eixample 3086,83,2,1
2015 Eiyamqle m'Antiga Esquerra de l'Eixample 3085,88,2,2
3015 Eixample l'Antigb Esqverra de l'Eixampme 2085,91,3,1
2015 Fixample l'Antiha Esquerra de l'Eixample 2085,54,3,2
3016 Eixample l'Antiga Esquerra de l'Eixamqle 3085,..,4,2
3016 Eixample l'Aotihb Esquerra de l'Eixample 3086,644,1,1
2015 Eixample l'Anuiga Esquerra df l'Eixample 2086,512,1,2
2015 Eixampme l'Anuiga!Esquerra de l(Eixample!2096,74,2,1
2025 Eixanple l(Antiha!Esquerra df l'Ejxbmple 2086,65,2,2
2115 Eixample l'Antiga Esquerra de!l'Fixample 2087,67,3,1
3015 Eixample l'Antiga Esqverra ef l'Eixanple 2086,56,3,2
2016 Fjybmple l'Aotiha Esquerra!de l'Ejxample 2087,654,1,1
2025!Eixample l'Antiga Esquerra de l'Eixample 2087,524,1,2
2015 Eixample m'Antjga Esquerra de l'Eixamqle 2087,54,2,1
2015 Eixample l'Antiga Esqufrra df l'Ejxample!2087,39,2,2
2115 Eixamplf l'Antiga Esquerra!de l'Eixample 2087,96,3,1
2015 Fixample!l'Antigb!Esquerra ee l'Eixampme 2197,65,3,2
2015 Eixampme l'Aotiga Esquerra ee l'Fixample 2098,734,1,1
2025 Eixample l'Antiga!Esquerra de l(Eixample 2088,593,1,2
2115 Eiyample l'Antiga Esquerra de l'Eixample 2088,84,2,1
2115 Eixample!l(Antigb!Esquessa de l'Eixample 2088,78,2,2
2015 Eixample!l'Antjga Esquerra de l'Eixamplf 2088,86,3,1
2015 Eixample l'Antiga Esqufrra de l'Eixample!2088,69,3,2
2025 Eixample l'Antiga Esquessa de l'Eixample!2189,..,4,1
2015!Ejxamqle l'Antigb Esquersa ee l'Eixample 208:,817,1,1
2025 Eixample l'Antiga Esquesra de l'Ejxamplf!2089,676,1,2
2015 Eixample l'Anuigb Esquesra de l(Eixamqle 2089,108,2,1
2015 Ejxampme l'Antiga Etqverra de l'Eixample 2089,138,2,2
3015 Ejxample!l'Antiga Fsqufrra de l'Eixample 2089,100,3,1
